Timestamp,Prelim,Actual,Forecast,Previous,Deviation
2022-11-18 07:00:00,False,1.5%,0.2%,1.3%,1.3
2022-08-18 06:00:00,False,0.7%,0.7%,0.8%,0.0
2022-05-13 06:00:00,False,-1.0%,-1.3%,0.1%,0.3
2022-02-16 07:00:00,False,0.1%,3.3%,3.9%,-3.2
2021-11-19 07:00:00,False,3.8%,3.3%,1.0%,0.5
2021-08-20 06:00:00,False,1.1%, ,-0.6%,
2021-05-12 06:00:00,False,-0.6%,-0.4%,0.8%,-0.2
2021-02-12 07:00:00,False,0.6%, ,4.5%,
2020-11-17 07:00:00,False,4.6%,4.4%,-4.7%,0.2
2020-08-25 06:00:00,False,-5.1%, ,-1.7%,
2020-05-12 06:00:00,False,-1.5%,-1.5%,1.5%,0.0
2020-04-24 06:00:00,False,-1.5%, ,1.6%,
2020-02-07 07:00:00,False,1.6%, ,0.0%,
2019-11-12 07:00:00,False,0.0%,0.5%,0.2%,-0.5
2019-08-29 06:00:00,False,0.3%,0.5%,-0.1%,-0.2
2019-05-13 06:00:00,False,-0.1%,0.6%,0.6%,-0.7
2019-02-08 07:00:00,False,0.5%,0.6%,0.6%,-0.1
2018-11-13 07:00:00,False,0.6%,0.6%,0.4%,0.0
2018-08-23 06:00:00,False,0.4%, ,0.2%,
2018-05-15 06:00:00,False,0.6%, ,-0.3%,
2018-02-09 07:00:00,False,-0.3%,0.5%,0.8%,-0.8
2017-11-14 07:00:00,False,0.7%,0.5%,1.1%,0.2
2017-08-24 06:00:00,False,1.1%, ,0.2%,
2017-05-16 06:00:00,False,0.2%,0.2%,1.2%,0.0
2017-02-09 07:00:00,False,1.1%,0.7%,-0.6%,0.4
